순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명),책소개,목차
66,만화,금붕어 가게의 가짜 부부 3,375360354,9791127884833,7830,"아마쿠라 후유 지음, 심이슬 옮김",HUSH(허쉬),20251103,6000,5400,300점,5455,만화,"책소개
더는 ‘계약’이 아니다?!
본가에 인사를 다녀오면서 두 사람의 거리가 좁혀지는 제3권!

나나 씨, 아사히의 본가에 인사를 가다?!
소설가가 되는 것을 인정해주지 않은 아버지와 아사히의 관계에 화해의 순간이 올까?
그리고 집에 가는 길에 던져진 ‘같이 잘래?’ 폭탄 발언!
두 사람의 거리가 단숨에 좁혀질… 수 있을까? 파란만장한 제3권!","목차
등장인물 소개
제11화 나나 씨, 그건… 질투인가요?
제12화 나나 씨, 제 본가에… 가실래요?
제13화 나나 씨, 더 만지고 싶어요
제14화 나나 씨, 계속 가까이 있고 싶어요
제15화 나나 씨, 그 사람은 누구예요?!
번외편 나나 씨, 가을 냄새가 나요
초기 설정 자료"
67,만화,나나 NANA 완전판 3,378048741,9791141166892,7650,야자와 아이 지음,학산문화사(만화),20251120,12000,10800,600점,6510,만화,,
68,만화,괴수 8호 RELAX 3,378967132,9791142813757,47830,"Kizuku Watanabe 그림, 유유리 옮김, 마츠모토 나오야 원작",서울미디어코믹스(서울문화사),20251127,6000,5400,300점,11180,만화,"책소개
『괴수 8호』 개그 스핀오프, 한정판과 함께 전격 등장!!

「괴수 8호」 스핀오프 개그 만화!
공격해 오는 괴수로부터 목숨을 걸고 사람들을 지키는 방위대원.
그런 그들이 비번일 때의 모습을 그린 이야기!
히비노 카프카는 레노와 부딪힌 충격으로 몸이 뒤바뀌고 마는데…?!",
69,만화,체인소 맨 1,295837060,9791168769984,,후지모토 타츠키 지음,학산문화사(만화),20200914,6000,5400,300점,15776,만화,"책소개
<체인소 맨> 이용등급 변경 안내
간행물 윤리위원회 심의 결정(청소년 유해매체물)에 따라 2021년 7월 1일부로 19세이용가로 이용등급 조정 예정입니다.
도서 이용에 참고 부탁드립니다.

악마 포치타와 함께 빚쟁이 데빌 헌터로 고용되어 혹사당하는 극빈곤 소년 덴지. 시궁창 인생은 잔인한 배신을 계기로 급변한다!! 악마가 깃든 몸으로 악마를 사냥하는 신세대 다크 히어로 액션, 개막! CHAINSAW MAN ⓒ 2018 by Tatsuki Fujimoto/SHUEISHA Inc.",
70,만화,심야식당 30,374806438,9791142329340,7830,아베 야로 지음,미우(대원씨아이),20251021,9500,8550,470점,7305,만화,,
71,만화,괴수 8호 RELAX 3 (아크릴 디오라마 한정판),378967119,9791142813870,,"Kizuku Watanabe 그림, 유유리 옮김, 마츠모토 나오야 원작",서울미디어코믹스(서울문화사),20251127,25000,22500,"1,250점",10030,만화,"책소개
『괴수 8호』 개그 스핀오프 코믹스, 아크릴 디오라마 한정판 등장!!

「괴수 8호」 스핀오프 개그 만화!
공격해 오는 괴수로부터 목숨을 걸고 사람들을 지키는 방위대원.
그런 그들이 비번일 때의 모습을 그린 이야기!
히비노 카프카는 레노와 부딪힌 충격으로 몸이 뒤바뀌고 마는데…?!

괴8 성분 부족을 채워줄 개그 스핀오프, 『괴수 8호 RELAX』!!
방위대원들이 비번일 때의 모습을 가득 담은 아크릴 디오라마 한정판 등장!!

※ 한정판 구성
- 『괴수 8호 RELAX 3』 단행본
- ‘축제’ 아크릴 디오라마
- 스페셜 일러스트 카드 4종
- 초판 한정 홀로그램 일러스트 카드
- 초판 한정 방위대(?) 4컷 포토 카드",
72,만화,신경 쓰이는 사람이 남자가 아니었다 1~2 합본 세트 (한정판) - 전2권,373446010,9791141161330,4650,아라이 스미코 지음,학산문화사(만화),20251028,48000,43200,"2,400점",9120,만화,"책소개
※ 한정판 구성
『신경 쓰이는 사람이 남자가 아니었다』 1~2 더블특전판 + 아크릴 스탠드 + 폴라로이드 엽서 5종 + 스페셜 박스

CD숍에서 일하는 신비한 ‘오빠’가 신경 쓰여 견딜 수 없는 여고생 아야.
하지만 그의 정체는 ‘공기’처럼 존재감 없는 같은 반의 미츠키였다.
믿어지지 않는 첫 만남부터 가속해 가는 애정의 향방은…?","목차
RHYTHM A
CHAPTER01
TEEN SPIRIT
신경 쓰이는 사람이 남자가 아니었다
기대하고 있었어요?
또 작업 멘트를 던져 버렸다
눈치 못 채는 인싸걸
삼촌은 걱정
갈림길
이름을 불러 준 것만으로도
무의식 훈남
요즘 유행
당신을 위해 귀여워지고 싶어
열과 함께 욕심이 난다
지켜보고 싶어
절대 넘어오게 하는 남자와 절대 넘어가지 않는 여자
오늘도 인싸걸과 얽히다
남모르는 발각
들을 때마다
휘말리는 폭풍
신경 쓰이던 사람이 남자가 아니었다

CHAPTER02
CREEP
물어볼 수 없는 두 사람의 새 학기
조카에게 아낌없이
이쪽을 봐 줘
CD숍의 여자아이
붙잡아 줘
쫓아갈게
꿈이냐 생시냐
내가 좋아하는 사람은

CHAPTER03
DON'T STOP
아는 사람은 나뿐
눈이 멀 것만 같아
그녀만큼은 겹최애 사절
둘이서라면
기습
이심전심
바란 대로 이루소서
아마 기분 탓은 아닌 듯
피스메이커
트러블 체이서
세상에서 제일 아름다운 소리

RHYTHM B
펼쳐보기"
73,만화,원피스 111,366331655,9791142316760,7830,오다 에이치로 지음,대원씨아이(만화),20250630,6000,5400,300점,38619,만화,,
74,만화,버서스 5,376754265,9791141169435,7650,"아즈마 쿄타로 지음, ONE 원작, bose 구성",학산문화사(만화),20251111,6000,5400,300점,4550,만화,,
75,만화,사카모토 데이즈 22 (더블 특전판),370424558,,7830,스즈키 유우토 지음,대원씨아이(만화),20250829,6500,5850,320점,28875,만화,,
